gene	tig00001343_nlr_1	tig00001423_nlr_1	tig00002055_nlr_1	tig00002590_nlr_1	Rpi_R1	Rpi_R2-like	Rpi_R3a	Rpi_R3b	Rpi_R8	Rpi_R9a
10_Z_41_A1_HR03b	42.9192	14.9091	40.4071	31.1869	18.4783	100	2.36111	24.7395	72.1311	57.2063
13_P_7_A4_HR03b	100	100	100	100	9.04731	14.5559	100	99.5832	64.9808	53.4921
15_JHL_140_A1_HR03b	100	21.1364	35.34	36.1365	3.2289	0	6.27778	11.4617	58.7374	54.7033
16_MC_158_A34_HR03b	38.9227	32.1364	29.0602	22.7295	13.9706	20.5592	1.36111	18.4876	52.459	28.1389
16_MC_165_A4_HR03b	34.1877	15.3182	17.3235	28.2076	100	15.5016	100	99.7916	65.4343	47.1134
16_MC_175_A11_HR03b	100	100	100	100	100	100	0	15.1533	73.0729	42.1074
16_MC_194_A3_HR03b	100	100	100	100	12.5	15.3783	5.05556	14.6472	58.0049	50.0202
16_MC_195_A2_HR03b	100	100	100	100	14.0026	0	6.83333	12.9801	74.5727	51.958
16_MC_204_A3_HR03b	28.5404	21.3182	9.00823	17.9721	100	12.4589	100	98.3924	60.6209	44.2874
Agria_HR02_v5	100	100	100	100	20.5243	13.898	100	99.613	64.7367	59.1441
Alouette	28.2363	17.1818	31.6154	28.9765	12.2442	8.63487	100	98.9878	53.7496	33.912
Alverstone_Russet_HR03b	28.2363	18.1818	20.0087	10.6679	100	18.6678	23.7222	16.4335	62.2951	58.3771
Amora	37.5326	21.3182	26.1152	36.7131	100	8.51151	0	13.3373	64.0391	42.6726
Annabelle	100	100	100	100	9.17519	6.20888	0	15.9869	45.3436	53.2095
Arizona	100	100	100	100	0	6.20888	100	100	57.2724	50.2624
Arran_Victory	21.2424	0	8.66176	0	5.97826	0	0	10.7175	15.94	40.7751
Arsenal_HR03b	31.4509	23.5909	39.1511	42.1432	30.4987	8.38816	0	11.2236	66.6899	58.256
Athlete	36.0556	12.3182	28.6271	11.1485	23.0818	12.4178	100	98.4817	63.8298	60.1938
Atlantic_HR02_v5	100	100	100	100	100	12.2122	0	16.0464	64.7367	55.0262
Bartina	100	100	100	100	15.2494	12.2944	13.75	99.8809	67.1782	55.0262
Basin_Russet	19.331	9.81818	1.73235	0	0	100	5.38889	99.6428	16.1493	46.0234
Bintje_NC	30.1043	0	12.2131	5.6223	2.87724	7.52467	2.94444	16.6121	25.5319	46.6694
Brodie	36.5334	14.3636	23.2568	26.3335	100	6.25	100	99.5832	63.3764	53.4114
Brooke	33.7098	45.8182	38.4149	25.9491	100	6.74342	0	15.8678	65.5738	55.1474
Burren	23.8923	20.1818	30.1862	21.0956	14.4821	8.55263	100	99.2557	58.8071	55.7933
Buster	100	100	100	100	33.7596	12.0066	100	99.5237	69.0966	40.0081
Bute	100	100	100	100	9.65473	12.6645	100	99.345	5.26683	52.5232
Cabaret	18.9401	35	21.741	4.85344	33.4399	7.11349	7.16667	46.2935	22.8811	52.3214
Camel	33.7967	16.5909	35.34	32.9169	100	6.29112	0	20.5418	62.5392	57.9734
Cammeo	19.2441	10.3636	19.3157	14.7525	9.6867	0	4.88889	12.9503	99.2675	55.7529
Cara_HR02_v5	100	100	100	100	100	0	100	98.9878	63.8647	51.2313
Carolus_HR02_v5	37.6195	21.2727	33.3045	38.0106	20.4604	6.66118	100	99.8511	57.4468	42.4304
Catriona	36.7072	16.8182	29.5366	26.0452	18.5102	13.2812	4.19444	11.4915	63.7251	61.2838
Challenger	28.106	15.4545	9.78779	17.9721	25.2238	13.6102	18.2222	99.9702	64.4925	58.9826
Charlotte	34.7089	18.8182	29.6665	47.5252	100	5.96217	100	99.1664	49.9477	34.6387
Cultra	100	100	100	100	100	12.1711	100	98.8092	64.0739	56.6411
Daisy	35.8818	29.9545	39.3677	44.8342	22.0588	12.2533	2.61111	7.91902	58.2839	61.2838
Desiree_HR02_v5	40.3128	20.0455	16.0676	25.9491	19.1496	12.1299	0	11.2831	57.97	56.4392
DM	8.81842	0	8.14205	4.61317	0	0	0	15.3319	32.3334	13.8878
Edzell_Blue	25.1955	18.8636	28.0208	39.8366	27.3977	12.9523	6.88889	21.7922	70.0384	61.082
Electra	100	100	100	100	20.7481	12.2944	10.4444	99.9405	63.3764	42.8744
Elland_HR03b	38.0539	22.0455	31.6154	32.6285	31.6816	12.5822	100	97.797	27.0666	41.2596
Estima_HR02_v5	36.2294	21.7273	23.9065	17.3955	14.9616	12.0477	10	99.7618	64.0042	56.2374
Eurostar	31.5378	25.7727	9.70117	18.0202	20.5563	100	100	99.226	71.8172	47.9612
Favorite	34.0573	20.8182	36.3794	25.8049	16.688	6.20888	2.27778	20.3037	57.97	55.4703
Fontane	29.2354	14.2727	15.8077	26.4777	100	10.7319	100	98.0054	42.7625	37.8684
Gemson_tp50_v5	100	100	100	100	100	12.2944	0	18.6365	57.3422	88.1712
Hermes_HR02_v5	39.2702	23.7727	39.9307	40.5094	100	12.2533	100	98.8092	62.2602	41.6633
Inca_Bella	11.338	6.86364	15.5479	0	0	12.1711	0	10.8366	57.9351	38.8373
Innovator_HR02_v5	37.8801	21.7273	25.7254	22.4892	100	100	100	99.4939	71.9219	21.7602
Ivetta_HR03b	40.5734	33.7727	39.2378	32.7727	24.8082	9.78618	22.1667	99.613	73.1078	62.6968
Jelly_tp50_v5	45.8297	23.4545	41.4032	36.2326	20.3964	13.2401	100	99.8214	64.5971	58.9826
Kelly_HR02_v5	30.8427	19.9545	33.2612	10.5238	4.82737	97.9441	0	18.3388	100	88.1712
Kennebec	21.8071	0	11.0437	0	100	13.6102	0	19.2617	23.7182	38.6758
King_Edward	74.0226	75.4091	67.735	77.3667	54.3798	18.8322	66.7222	64.1262	32.2288	50.9487
KING_RUSSET	28.2798	15.6364	30.9225	17.828	13.6829	100	100	99.9405	71.1545	33.9524
Lady_Amarilla	100	100	100	100	100	18.4211	100	99.7321	64.5971	58.256
Lady_Anna	100	100	100	100	26.2468	6.29112	100	98.6008	37.5305	61.3646
Lady_Clair	36.4031	0	10.0476	12.2537	2.46164	0	7.33333	99.0176	40.2511	53.7747
Lady_Rosetta_HR02_v5	100	100	100	100	23.8491	12.1299	0	17.8922	60.6906	58.7404
LaStrada	42.4848	23.3182	43.0056	28.2556	9.2711	12.1711	100	99.1962	63.3415	59.8708
Lionheart	100	100	100	100	20.5882	10.1151	100	99.1366	64.2483	51.6754
Lorimer_HR03b	100	100	100	100	100	11.3076	5.02778	11.432	33.624	45.7004
Manitou	26.8462	19.7727	25.5955	18.0202	8.72762	12.9934	100	98.4817	51.029	57.8119
Marfona_HR02_v5	46.7854	23.9545	40.4504	48.8227	14.8338	12.2533	4.19444	24.2036	56.2958	60.8801
Maris_Bard	42.0504	25.1818	31.139	42.7198	18.3824	12.5411	2.75	11.432	58.1793	61.4857
Maris_Peer_tp50_v5	21.7202	25.3182	23.5167	17.9721	100	100	0	15.9571	65.5389	53.3306
Maris_Piper_HR02_v5	43.0495	23.1818	32.958	42.5757	26.023	6.33224	5.08333	9.55642	20.3348	59.1845
Markies_HR02_v5	36.5769	18.4545	30.7492	26.3335	18.2545	11.0197	100	99.8511	65.3645	65.2402
Mayan_Rose	40.8775	21.5455	20.4851	30.9947	100	6.57895	100	98.7794	63.6554	61.4453
Melody	59.2963	57.1364	72.4989	68.4286	8.63171	4.97533	100	97.5588	40.8441	37.3032
Mozart	43.4839	22.6364	37.5487	48.5824	98.945	98.7253	100	99.7023	65.3994	60.9205
Nadine	47.0026	30.4545	39.0212	43.2484	25.1598	14.0625	100	99.7916	68.7129	64.9172
Nectar_tp50_v5	100	100	100	100	16.4962	16.2418	100	99.8214	59.4698	57.7715
Orchestra	36.5334	27.9091	31.7887	33.2532	13.8747	13.4457	13.1389	99.8511	55.6331	61.082
Osprey_tp50_v5	26.7593	42.4091	37.8086	21.1437	22.6023	18.3388	100	99.7023	64.7715	61.849
Panther_HR03b	28.497	21	10.0909	23.21	100	6.25	100	99.9702	72.2358	56.6815
Pentland_Dell_HR02_v5	39.3136	21.7273	23.2568	32.6766	100	97.9441	100	99.8214	58.2142	61.2031
Performer	41.3119	15.2273	29.9264	25.853	100	12.2944	5.13889	11.4915	64.5623	61.4049
Picasso	100	100	100	100	100	10.2385	100	99.226	23.4391	38.3528
Pink_Fur_Apple	26.7593	10.7273	16.6739	18.2605	10.6777	10.1151	1.47222	16.493	52.7729	56.0355
Premiere_tp50_v5	36.6638	20.4091	23.0836	33.5416	10.5499	12.2944	22.9167	99.7618	64.7367	55.4703
Purple_Majesty	100	100	100	100	22.2187	12.4178	53.75	43.4653	71.294	60.6782
Ranger_Russet	1.52042	10.3182	17.8865	16.3383	0	0	0	10.4793	16.219	45.216
Rivera	100	100	100	100	29.4757	12.2944	0	20.9884	64.9808	55.9548
Rock	100	100	100	100	36.2212	7.48355	0	10.777	56.226	58.7
Rooster_HR02_v5	29.0617	13.8182	32.1784	28.2556	100	8.38816	0	11.4617	61.5975	60.113
Royal_tp50_v5	100	100	100	100	25.2558	0	12.6944	99.7618	64.4576	58.9826
Rudolph	36.099	15.3182	27.3712	23.7386	100	12.2122	5.77778	100	64.5274	52.9269
Russet_Burbank_smplt_v4	0	10.1364	11.5201	0	7.99233	0	0	10.8068	22.2183	40.8962
Safari	100	100	100	100	15.3453	3.53618	11.6944	99.613	64.1437	57.8522
Sagitta	45.3519	22.0909	32.6115	32.9169	15.601	6.62007	11.1944	99.9107	57.4468	61.082
Sangre	35.4909	22.8182	33.3045	50.2162	18.9898	12.2122	7.30556	35.6951	61.1441	46.2253
Saphire	100	100	100	100	23.3696	21.6694	0	99.5534	36.519	52.9269
Sarpo_Mira	63.6838	0	7.23257	9.61076	0	8.38816	100	100	98.6746	81.3888
Saturna_tp50_v5	21.6768	14	23.8198	26.2854	100	10.1562	8.38889	11.4617	63.3415	50.2624
Saxon_HR02_v5	44.874	21.2273	29.0602	41.3743	37.9795	6.20888	0	11.2831	56.5399	50.0606
Seresta	42.311	32.8636	48.9822	36.4728	34.399	12.2533	100	99.7023	73.3171	61.2838
Shelford	44.9609	41.3636	46.0806	45.7953	20.4284	12.7056	100	99.7023	58.4234	55.3492
Shepody_HR02_tp50CH_v5	40.4865	20.5455	29.5366	26.0932	100	6.66118	7.61111	11.4915	65.7482	50.0202
Spunta_v4	21.2424	0	0	0	100	0	6.63889	9.79458	34.9843	35.6076
Stirling	31.9288	16.8182	15.6778	17.2033	100	18.2566	100	99.1664	53.4008	55.0262
Strachan_HR03b	34.4483	22.4545	47.9428	28.9284	8.53581	0	2.58333	21.4945	69.3757	54.017
Sunita	43.3102	22.5	37.3755	36.2326	9.65473	20.1069	100	99.8511	35.8912	50.3432
Sylvana_tp50_v5	100	100	100	100	20.1726	17.1464	0	18.309	54.6913	56.9641
Taurus	17.6803	0	13.7289	7.54445	8.82353	4.07072	6.91667	96.8145	37.0771	48.0016
Toluca	13.6838	0	0	9.51466	0	0	19.9167	26.4067	33.2752	50.9891
Toronto_HR03b	100	100	100	100	100	13.528	13.8611	100	67.3178	58.9826
Umatilla_Russet_USA_v5	38.4014	30.0455	36.3794	43.4407	16.9118	12.2122	0	15.9869	57.8654	46.5079
Vales_Sovereign_tp50_v5	100	100	100	100	100	10.5263	100	99.5832	63.6903	49.8183
Valor	100	100	100	100	24.4885	6.33224	9.63889	16.0167	58.3537	61.4453
Violeta	15.7689	15.8182	16.414	3.31571	4.85934	0	5.05556	7.77017	52.9125	9.891
Vivaldi_tp50_v5	36.6203	15.2727	23.9065	33.3013	10.5179	14.1447	100	99.9107	65.1203	52.4021
VR808_HR02_v5	38.2276	19.7273	43.1356	22.6333	100	6.25	0	18.3388	64.2832	54.9455
Wilja	32.4066	12.8636	25.812	22.8736	23.3376	12.0477	0	18.309	63.7251	61.1627
Winston	31.2772	22	35.21	20.9995	10.5818	8.75822	11.25	14.8854	66.4458	58.3771
Yukon_Gold_HR02_v5	26.0643	15.0455	25.5955	16.6266	10.9655	12.2122	8.25	18.2495	63.202	53.9362
